X;Y;ELEV
-300120;7689960;13
-654360;7562040;52
1640;7512840;3
-775720;7496440;49
-756040;7489880;49
362440;7453800;3
4920;7450520;49
549400;7447240;49
-287000;7427560;118
-624840;7414440;98
300120;7381640;98
985640;7375080;98
391960;7345560;29
-880680;7342280;173
-467400;7329160;144
-67240;7329160;98
756040;7302920;406
1149640;7296360;1036
483800;7293080;416
565800;7257000;213
-70520;7253720;200
910200;7243880;587
1405480;7230760;2998
1346440;7224200;1945
1084040;7204520;3162
346040;7197960;131
1569480;7184840;3599
1313640;7152040;5465
1487480;7148760;4399
1576040;7112680;2440
1536680;7099560;2755
401800;7089720;498
-365720;7056920;1059
542840;7056920;744
-123000;7043800;403
-933160;7040520;1719
-391960;7030680;1043
-1487480;7014280;246
-542840;7014280;1079
191880;7014280;705
-451000;6958520;1131
844600;6958520;4061
674040;6955240;1437
-1152920;6902760;1348
1471080;6889640;3320
-952840;6886360;2001
-1044680;6866680;2050
234520;6840440;1158
697000;6840440;2860
1421880;6840440;2851
250920;6824040;1804
1438280;6814200;2798
-788840;6797800;1847
132840;6745320;2814
-824920;6728920;997
952840;6719080;4212
-618280;6712520;2096
-523160;6712520;2887
605160;6702680;6266
-1343160;6692840;337
264040;6683000;3280
1107000;6683000;2624
-533000;6656760;1791
-1228360;6643640;1499
306680;6623960;2178
-1451400;6587880;9
-270600;6558360;2805
237800;6545240;2883
-838040;6535400;2319
-428040;6512440;2916
811800;6512440;4468
-372280;6469800;3471
618280;6469800;2824
1579320;6469800;843
929880;6430440;2103
674040;6423880;3395
972520;6410760;2631
-172200;6404200;2936
1034840;6404200;1135
-546120;6400920;1899
388680;6377960;4002
-903640;6338600;1023
-487080;6335320;1148
1559640;6332040;859
-1221800;6328760;111
1497320;6286120;538
-352600;6279560;1702
1097160;6266440;505
-565800;6263160;196
-31160;6263160;1850
-854440;6243480;160
1284120;6191000;419
136120;6181160;1558
1303800;6131960;436
933160;6105720;961
375560;6082760;518
382120;6063080;538
1421880;6059800;531
1067640;6036840;393
1175880;6020440;419
1218520;6020440;442
1838440;6017160;1532
77080;5997480;452
-123000;5977800;551
-24600;5964680;951
-1457960;5954840;39
1553080;5948280;941
126280;5889240;705
185320;5843320;1036
-487080;5833480;196
1779400;5813800;948
1005320;5810520;2395
1592440;5800680;1607
920040;5738360;1400
1956520;5735080;2995
303400;5731800;2395
-697000;5708840;1000
-280440;5708840;183
-1002040;5702280;672
-1858120;5656360;754
-182040;5620280;1466
372280;5561240;239
-811800;5525160;1538
1067640;5525160;1404
1133240;5521880;1302
-175480;5518600;705
1061080;5492360;803
1454680;5472680;3805
-1543240;5446440;29
-1362840;5433320;1105
50840;5423480;935
405080;5423480;492
-149240;5410360;196
1202120;5407080;1046
-1362840;5393960;777
1366120;5377560;1850
382120;5374280;495
1920440;5361160;2247
-136120;5334920;291
1510440;5325080;2198
-2727320;5298840;49
-100040;5266040;859
-346040;5252920;718
1392360;5246360;1079
-946280;5216840;1197
1654760;5207000;2499
2025400;5203720;2424
1661320;5121720;1801
-2533800;5088920;42
-208280;5079080;1217
